State,Company,CIQID,Year,EBITDA,YearRev,Year2Rev,Year3Rev,YearOpExp,Year2OpExp,Year3OpExp,YearCapex,Year2Capex,Year3Capex,YearDiv,Year2Div,Year3Div,YearROE,Year2ROE,Year3ROE,YearDebt_EBITDA,Year2Debt_EBITDA,Year3Debt_EBITDA,YearFFO_Debt,Year2FFO_Debt,Year3FFO_Debt
FL,Carnival Corporation,IQ258823,2015,4286,15884,15456,15382,12404,12327,12006,2562,2134,2315,776,8105,7185,5.06101,4.44674,5.4354,2.72401,3.18862,2.80744,32.89979,27.65084,31.38472
OH,The Goodyear Tire & Rubber Company,IQ275789,2015,2765,18138,19540,20992,15989,17516,19369,899,1129,1105,75,6162,4888,98.23222,80.37508,57.00935,2.89107,3.10038,4.09032,24.86746,22.02849,14.99727
CA,"The Gap, Inc.",IQ274265,2015,3283.5,16435,16148,15651,13842,13528,13218,707,662,653,383,1246,1606,41.75352,42.98187,40.1841,1.47761,1.43126,1.47567,48.22359,49.02669,45.80617
NY,Omnicom Group Inc.,IQ96161,2015,2661.45,15317.8,14584.5,14219.4,13079.3,12474.4,12132.5,213,212,226.3,579.3,4033.4,4448.5,34.32622,28.14346,26.83386,1.72244,1.42042,1.67571,37.463,46.86594,42.38694
CO,DISH Network Corporation,IQ110001,2015,3038.748,14643.387,13904.865,14266.492,11741,11065.085,12061.608,992.203,1116.991,851.243,0,12596.793,11350.399,61.93415,159.98664,-366.57042,2.64708,2.30637,2.2625,26.0595,29.79839,36.76219
WA,"Nordstrom, Inc.",IQ32215,2015,2055.5,13110,12166,11762,11675,10736,10374,855,789,508,251,3124,3141,31.85841,36.76434,37.99431,1.2475,1.07574,0.88941,56.03071,63.59601,78.14507
NY,CBS Corporation,IQ27763231,2015,3397.5,13806,14005,12820,10577,10690,9725,304,388,291,292,5940,5904,15.98961,17.22583,14.98932,2.42961,2.11998,2.15511,34.88683,34.68372,33.56788
PA,Aramark,IQ1004106,2015,1432.644,14832.913,13945.657,13505.426,13746.769,12865.347,12393.986,545.194,392.932,354.542,52.186,5804.789,6063.195,10.67533,5.00512,8.17496,4.28401,4.88519,4.98279,16.38,12.67844,10.95292
KY,"Yum! Brands, Inc.",IQ365997,2015,3506.5,13279,13084,13633,10561,10286,10850,1033,1049,1099,669,2918,2932,56.02345,48.3064,75.54399,2.22434,2.1119,2.01187,32.1213,34.89535,36.43217
TX,"J. C. Penney Company, Inc.",IQ295624,2015,906,12257,11859,12985,12082,12833,14076,252,951,810,0,2868,2868,-30.83383,-44.35922,-27.43351,18.44454,-11.74572,-9.38626,-1.83415,-14.30561,-17.1759
CA,"Ross Stores, Inc.",IQ33926,2015,2421.89,11041.677,10230.353,9721.065,9320.368,8681.179,8263.823,635.866,539.715,420.534,168.454,150,150,43.14576,44.37029,48.26952,1.05139,0.84418,0.7815,65.0782,80.2069,84.87278
NY,"Viacom, Inc.",IQ25403751,2015,3737,13783,13794,13887,9441,9714,9750,123,160,154,541,11867,8131,53.68043,38.08243,29.16485,3.05327,2.79712,2.23163,18.49376,26.55363,28.0707
OH,"L Brands, Inc.",IQ285544,2015,3360,11454,10773,10459,9063,8623,8377,715,691,588,691,4536,3541,-592.04546,-130.39711,-171.5262,2.12092,2.40135,2.41299,30.70369,26.29997,26.15813
NC,V.F. Corporation,IQ191328,2015,2532.544,12282.161,11419.648,10879.855,10233.571,9568.904,9217.69,234.077,271.153,251.94,478.933,1426.829,1429.166,17.89396,21.60413,22.50589,0.86859,0.923,1.34169,89.18761,81.95428,54.64391
TX,"D.R. Horton, Inc.",IQ107405,2015,1463.5,8024.9,6259.3,4354,7195.6,5597.1,4087.8,100.2,58,33.6,48.6,2508.1,2133.6,11.63032,12.09578,30.78533,2.94964,3.36258,3.9138,20.34086,21.51176,18.68891
NJ,Bed Bath & Beyond Inc.,IQ321778,2015,2335.275,11881.176,11503.963,10914.585,10087.69,9670.567,9081.639,330.637,317.18,314.682,0,0,0,28.64769,25.49028,25.93738,1.40682,0.79582,0.77362,47.81083,86.96473,88.61765
NJ,"Toys ""R"" Us Inc.",IQ190358,2015,1257,12361,12543,13543,11793,12091,12580,207,238,286,0,4991,4851,33.35237,1215.20468,7.69231,6.29547,7.23476,5.21838,6.91003,4.29325,10.94221
AR,Murphy USA Inc.,IQ240460878,2015,375.131,17209.919,18083.335,0,16736.214,17744.288,0,140.257,165.262,0,0,547.578,1.124,32.08917,17.75638,0,1.21099,1.79923,0,55.40438,38.85285,0
NV,Las Vegas Sands Corp.,IQ3632895,2015,3997.1095,14583.849,13769.885,11131.132,9453.034,9354.174,7784.03,1169.356,893.411,1399.934,2386.657,9382.752,10132.265,38.18286,31.31587,18.47274,1.344,1.48999,2.30941,67.17485,60.33537,37.70012
FL,Lennar Corporation,IQ30763,2015,1447.6645,7779.812,5920.349,4104.706,6819.232,5187.447,3754.449,22.599,8.126,2.822,32.775,4650.173,4579.531,14.20457,12.65019,22.22544,3.65732,4.15234,5.43863,15.15576,17.30937,9.86847
TX,"Group 1 Automotive, Inc.",IQ368787,2015,446.549,9937.889,8918.581,7476.1,9551.915,8602.891,7207.294,149.692,102.058,87.791,17.097,689.767,598.105,9.10786,11.64932,11.79006,3.18899,3.03834,2.91111,21.67847,21.99181,23.07561
CO,Liberty Interactive Corporation,IQ30796,2015,1983,10499,11252,10054,8642,9156,8245,241,352,339,0,6106,6246,7.75637,6.9113,21.566,2.9154,2.80831,3.07219,22.25259,25.50759,18.69161
TN,"AutoZone, Inc.",IQ25307,2015,2520.818,9475.313,9147.53,8603.863,7393.823,7147.181,6763.141,437.075,413.148,376.809,0,4013.267,3718.302,-64.6532,-62.83598,-66.40169,3.12148,3.00542,2.55236,20.04265,20.94282,24.70862
GA,Newell Brands Inc.,IQ291703,2015,960.6,5727,5692.5,5579.9,4968.5,4914.9,4776.2,161.8,138.1,176.3,182.5,1697.1,1713.7,19.01654,20.65287,20.36734,3.18646,2.56181,2.75698,26.37144,30.43903,26.86759
CT,The Priceline Group Inc.,IQ33254,2015,3866.761,8441.971,6793.306,5260.956,5160.839,4262.917,3366.022,131.504,84.445,55.158,0,1750.58,936.651,31.27878,34.82395,42.99575,0,0,0,NM,NM,NM
NC,"Sonic Automotive, Inc.",IQ370122,2015,402.5115,9197.099,8843.168,8365.468,8897.173,8544.686,8079.341,144.511,155.133,94.178,5.261,738.557,632.998,15.39555,14.85339,17.39486,3.26185,3.22428,3.07208,20.59688,20.62803,21.92969
VA,"Advance Auto Parts, Inc.",IQ24333,2015,1608.3135,9843.861,6493.814,6205.003,8707.458,5625.701,5358.144,226.301,193.68,269.118,17.58,1052.668,604.461,28.06528,28.73286,37.66331,2.8237,2.9497,1.66904,24.88519,22.72639,41.56123
TX,"CST Brands, Inc.",IQ231688165,2015,447,12184,12777,13135,11746,12421,12705,282,200,156,19,1006,0,27.77778,14.83458,16.82692,2.58151,3.15746,0.32843,28.08345,24.27778,229.80269
TX,GameStop Corp.,IQ1342560,2015,1189.9,9296,9039.5,8886.7,8504.2,8268.1,8068.7,159.6,125.6,139.6,148.8,0,0,18.20287,15.61143,-10.12673,2.88393,2.59076,2.55323,21.48914,23.19101,31.67398
MI,BorgWarner Inc.,IQ25708,2015,1367.95,8305.1,7436.6,7183.2,6997.6,6282,6141.7,549.5,405.9,389.6,116.1,1021,823.8,18.27556,18.79516,18.31277,0.74709,0.64052,0.78762,101.53028,111.90535,92.08623
NV,MGM Resorts International,IQ286798,2015,2106.296,9698.55,9444.999,8803.247,7559.247,7484.262,7795.021,927.781,557.054,421.794,386.709,13447.23,13589.283,-3.60181,-3.64339,-33.82453,5.73343,5.88736,6.96896,10.62771,10.02518,5.57834
GA,"Mohawk Industries, Inc.",IQ31670,2015,1453.385,7803.446,7348.754,5787.98,6685.08,6492.9517,5128.179,552.602,358.383,203.717,0,2132.79,1327.729,11.98246,8.96457,6.98155,1.92965,2.60203,1.67068,40.4074,28.12961,48.9748
IL,LKQ Corporation,IQ4303924,2015,1001.042,6740.064,5062.528,4122.93,5964.759,4451.379,3614.772,140.686,90.056,87.959,0,1272.716,1061.7,15.0459,14.44425,14.4796,2.60975,2.32234,2.46231,25.88445,29.05222,27.5511
