State,Company,CIQID,Year,EBITDA,YearRev,Year2Rev,Year3Rev,YearOpExp,Year2OpExp,Year3OpExp,YearCapex,Year2Capex,Year3Capex,YearDiv,Year2Div,Year3Div,YearROE,Year2ROE,Year3ROE,YearDebt_EBITDA,Year2Debt_EBITDA,Year3Debt_EBITDA,YearFFO_Debt,Year2FFO_Debt,Year3FFO_Debt
FL,"Hemisphere Media Group, Inc.",IQ226584812,2013,29.89391,0,0,0,0,0,0,0,0,0,0,57.2468,36.85,0,0,0,0,0,0,0,0,0
CA,"LBI Media, Inc.",IQ3632482,2013,0,0,117.52,115.736,0,94.065,81.63,0,9.987,11.509,0,444.798,405.32,0,16.48474,8.5538,0,18.09304,12.94907,0,-3.20036,0.83488
NY,"Nathan's Famous, Inc.",IQ61292,2013,14.536,71.069,65.524,56.447,58.011,54.773,47.156,0.998,1.358,1.245,0,0,0,23.71358,18.40544,5.37201,0.83345,0.9587,1.05817,80.12157,83.2467,67.64497
MI,Metaldyne Performance Group Inc.,IQ1040657,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,General Motors Company,IQ61206100,2012,13888,148866,135311,0,134525,121078,0,6142,4136,0,295,2482,5562,22.13366,15.79268,0,1.647,1.8383,0,52.21134,42.39474,0
MI,Ford Motor Company,IQ106335,2012,10244,128168,119280,105893,119014,109706,105413,4241,4046,4516,0,14043,28848,280.17188,-183.34498,-22.76505,2.02131,2.16756,10.56864,41.44645,33.65479,0.31111
WA,"Amazon.com, Inc.",IQ18749,2012,4314.5,48077,34204,24509,45978,32230,22951,1811,979,373,0,184,109,8.63142,19.00833,22.75192,0,0,0,NM,NM,NM
GA,"The Home Depot, Inc.",IQ278679,2012,10525,70395,67997,66176,62129,60542,59520,1218,1093,962,1632,8662,9667,21.11072,17.43901,14.09739,1.71436,1.89456,2.0185,40.06973,35.94157,32.89593
PA,Comcast Corporation,IQ173341,2012,21133.5,55842,37937,35756,37485,23195,21961,6261,5497,5639,1187,29615,27940,9.03474,8.33286,8.73879,2.28639,1.8132,2.11441,33.62062,40.65312,37.47049
MN,Target Corporation,IQ174438,2012,6787.5,68466,65786,63435,62412,60054,58661,4373,2131,1720,750,15141,17520,18.71087,18.94013,17.12378,2.11389,1.68179,1.75726,35.67427,45.65695,42.47074
NC,"Lowe's Companies, Inc.",IQ180871,2012,5703.5,50208,48815,47220,45352,43500,42261,1819,1315,1780,647,4528,5039,10.61625,10.81197,9.60565,1.90018,1.71543,1.56296,37.62533,38.71315,43.686
CA,The Walt Disney Company,IQ191564,2012,12143.5,40893,38063,36149,31326,29894,29106,3468,2028,1696,756,10130,11495,12.20128,10.84624,10.01257,1.52369,1.56737,1.79042,44.35082,43.75217,38.0619
MN,"Best Buy Co., Inc.",IQ255397,2012,2863,50705,50272,49694,47468,47170,46481,766,744,615,228,1104,1126,-15.83462,17.91526,21.73267,1.79372,1.92109,1.8546,40.63593,35.2448,38.1086
OR,"NIKE, Inc.",IQ291981,2012,4271.5,24128,20862,19014,20715,17712,16216.3,597,432,335.1,619,446,437.2,21.98349,21.7686,20.67242,0,0,0,NM,NM,NM
MA,"The TJX Companies, Inc.",IQ306688,2012,4877.9745,23191.455,21942.193,20288.444,20258.692,19172.773,17862.155,800.737,707.134,428.524,275.016,774.325,365.583,47.42575,44.7317,48.31259,1.16208,1.14775,1.17461,61.28647,61.79286,58.78816
NY,Time Warner Inc.,IQ24689,2012,7909.156,28974,26888,25388,22210,20572,19852,772,631,547,997,16523,15346,9.17662,7.77185,5.41455,2.73116,2.46359,2.62954,23.59004,25.61287,25.10551
NY,"Twenty-First Century Fox, Inc.",IQ91031,2012,6812,24232,32778,30423,19280,26786,25505,897,1298,1449,490,13191,12204,8.25528,10.25527,-12.8446,1.76267,1.66658,2.35003,33.07379,43.50982,25.36125
OH,"Macy's, Inc.",IQ318091,2012,4135,26405,25003,23489,22887,21934,20825,547,334,350,148,8409,8673,21.91398,16.63557,7.07603,2.25435,2.66419,3.54351,29.42578,23.73126,19.2978
IL,McDonald's Corporation,IQ139488,2012,11242.35,27006,24074.6,22744.7,17239.3,15494.4,14970.9,2715.8,2123.5,1940.4,2609.7,11497.3,10563.7,37.92051,34.50734,33.19899,1.69235,1.76419,1.84187,41.30136,38.90854,38.02232
IL,Sears Holdings Corporation,IQ7675730,2012,1281.5,41567,43326,44043,41566,41993,42391,432,441,361,0,1698,2132,-48.05867,1.47377,2.49801,7.90711,3.87288,3.0396,4.18119,15.98861,24.45294
WA,Starbucks Corporation,IQ34745,2012,3532.85,11874.1,10855.5,9896.5,9595.6,8872.7,8467.4,527.5,435.8,442.7,389.5,549.4,549.3,30.903,28.14118,14.11697,1.04157,1.08525,1.68648,70.79676,75.99013,44.78267
TN,Dollar General Corporation,IQ266974,2012,2558.6695,14807.188,13035,11796.38,13039.976,11504.608,10511.951,513.361,420.395,250.747,0,3456.773,4186.479,17.54787,16.80466,10.87872,2.35588,2.66846,3.05938,27.24394,23.98245,20.16721
FL,"AutoNation, Inc.",IQ112302,2012,755.75,13832.3,12461,10757.8,13176.6,11928.1,10329.5,148.1,150.4,75.1,0,1340.6,1105,14.30477,10.73914,10.40588,2.90733,2.86424,3.00938,22.52756,22.50724,24.88553
CT,"Charter Communications, Inc.",IQ19609,2012,2726.5,7204,7059,6755,4571,4486,4289,1400,1209,1134,0,12363,13400,-39.1097,-13.9576,-264.69492,4.84617,4.78093,5.07983,13.3268,13.94174,11.19232
MI,Whirlpool Corporation,IQ314515,2012,1872,18666,18366,17099,17316,16791,15849,608,593,541,148,2195,2502,9.06977,15.32178,9.69554,2.28837,2.21265,3.27174,29.41794,32.8533,14.2745
MA,"Staples, Inc.",IQ34740,2012,2767.412,24664.752,24135.253,24275.451,22548.925,21995.276,22214.421,383.654,408.889,313.228,277.936,2500.329,1968.928,14.14431,12.92672,11.84017,1.60667,1.81246,1.8634,44.42797,41.63276,36.1668
VA,"Dollar Tree, Inc.",IQ27685,2012,1604.75,6630.5,5882.4,5231.2,5683.6,5066.4,4560.6,250.1,178.7,164.8,0,250,250,34.83379,27.51195,23.89651,1.19254,1.02134,0.97939,60.89146,70.87404,75.22334
MI,"Penske Automotive Group, Inc.",IQ365436,2012,565.614,11556.232,10713.585,9523.105,11209.139,10458.832,9295.436,132.415,80.865,90.315,21.992,769.285,934.704,16.01617,11.16426,9.66409,5.87364,6.61328,7.63802,9.62686,7.02308,6.6691
WI,Kohl's Corporation,IQ61243,2012,3025,18804,18391,17178,15868,15549,14631,921,795,670,271,1894,1893,16.25575,14.50308,13.57611,1.91702,1.64192,1.70263,35.09106,38.93321,36.61604
MI,Lear Corporation,IQ30727,2012,1088.6,14156.5,11954.6,9739.6,13230.6,11180.3,9572.2,329.5,193.3,118.8,69.6,694.9,927.1,21.08033,20.18653,82.57123,1.13236,1.25646,3.06564,72.26233,67.53534,17.97188
FL,Carnival Corporation,IQ258823,2012,3579.5,15793,14450,13460,11988,10767,9997,2675,3553,3343,671,8011,9097,8.15996,8.77824,8.70347,2.60454,2.6792,2.9487,34.07123,32.90951,29.51274
OH,The Goodyear Tire & Rubber Company,IQ275789,2012,2204,22767,18832,16301,20928,17430,15444,1012,918,732,15,4319,4182,44.64534,-17.28,-28.83506,3.54236,3.83082,5.12174,18.17658,16.57147,10.06787
CA,"The Gap, Inc.",IQ274265,2012,3605,14549,14664,14197,12589,12126,11795,544,557,334,236,0,0,24.37454,26.84205,23.75512,1.67791,0.88156,0.62941,41.71617,84.19825,112.6899
NY,Omnicom Group Inc.,IQ96161,2012,2565.6,13872.5,12542.5,11720.7,12012.6,10829.3,10103,185.5,153.7,130.6,269.1,3148.8,2220.6,24.19947,19.83489,19.88565,1.53402,1.47241,1.43006,47.34365,50.27217,53.92791
CO,DISH Network Corporation,IQ110001,2012,3091.577,14048.393,12640.744,11664.151,10198.366,9490.495,8976.164,778.785,1096.08,1017.505,893.278,5484.041,6470.046,-195.29272,-61.06599,-31.45644,1.77906,1.46062,1.97561,43.81996,51.21904,36.65406
WA,"Nordstrom, Inc.",IQ32215,2012,1911.5,10497,9310,8257,9232,8255,7480,504,394,353,197,2257,2214,34.3475,34.1219,31.70381,0.83997,0.53927,0.76698,81.94615,126.64815,85.0023
NY,CBS Corporation,IQ27763231,2012,3506,14245,14059.8,13014.6,11168,11771.4,11238.9,344,374.2,317.2,206,5973,6553.3,13.0876,7.6879,2.57142,1.99698,3.03092,4.08559,35.50205,21.94879,17.02903
PA,Aramark,IQ1004106,2012,1326.2065,13082.377,12571.676,12297.869,12018.35,11584.707,11303.317,293.776,289.973,358.247,711.374,5578.595,5897.962,6.95144,1.96816,-0.44499,5.38702,5.17201,5.4097,10.63801,10.64258,9.89479
KY,"Yum! Brands, Inc.",IQ365997,2012,3627,12626,11343,10836,10048,8918,8693,940,796,797,481,2915,3207,73.58438,83.21955,210,2.18805,2.14637,2.52402,33.27066,32.03965,28.58692
TX,"J. C. Penney Company, Inc.",IQ295624,2012,-534,17260,17759,17556,16723,16412,16393,634,499,596,178,2998,3504,-3.21014,7.38426,5.57484,5.35475,2.7821,3.26198,11.11208,24.80042,19.89856
CA,"Ross Stores, Inc.",IQ33926,2012,1922.018,8608.291,7866.1,7184.213,7384.933,6798.817,6299.048,415.771,198.551,156.687,102.042,150,150,46.51372,44.56228,41.11667,0.84497,0.82136,0.97274,82.05748,81.33649,71.56304
NY,"Viacom, Inc.",IQ25403751,2012,4479,14914,13356,13257,10933,9583,9833,155,170,139,417,6721,6650,23.98838,21.17529,21.36219,1.89146,1.92708,2.33636,38.54729,35.96705,29.25069
OH,"L Brands, Inc.",IQ285544,2012,2694,10364,9613,8632,8503,7929,7413,426,274,202,1144,2767,2927,105.39368,43.98907,22.07984,2.1303,1.79507,2.15774,31.38426,34.8728,31.53024
NC,V.F. Corporation,IQ191328,2012,2110.924,9459.232,7702.589,7220.286,8045.53,6523.781,6207.809,170.894,111.64,85.859,285.722,935.882,938.494,21.17903,14.88968,12.51663,1.73336,0.85259,1.1782,44.13436,82.68361,61.63242
TX,"D.R. Horton, Inc.",IQ107405,2012,415.75,3636.8,4400.2,3657.6,3559.7,4209.6,4114.1,16.3,19.2,6.2,47.8,1896.4,2860,2.7437,10.05992,-21.5866,4.2432,2.73364,15.36041,17.71973,34.69586,7.55505
NJ,Bed Bath & Beyond Inc.,IQ321778,2012,2393.6755,9499.89,8758.503,7828.793,7747.648,7286.225,6663.874,243.374,183.474,153.68,0,0,0,25.19769,20.86694,18.037,0.45542,0.49532,0.66985,150.39391,132.79726,98.24128
NJ,"Toys ""R"" Us Inc.",IQ190358,2012,1633,13909,13864,13568,12907,12855,12515,379,324.428,191.591,0,5076,5497,35.22459,73.04348,-397.45223,5.17216,5.33728,5.14097,11.22855,10.8485,10.85218
AR,Murphy USA Inc.,IQ240460878,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,Las Vegas Sands Corp.,IQ3632895,2012,3590.7525,9410.745,6853.182,4563.105,6226.454,4961.568,3668.871,1381.393,1917.881,2027.496,85.685,9373.755,10852.147,17.43519,9.53863,-8.52757,2.01,3.98424,11.10029,42.00538,20.54702,5.44555
FL,Lennar Corporation,IQ30763,2012,512.7915,3095.385,3074.022,3119.387,2969.951,2936.135,3559.694,9.936,5.062,-0.329,29.906,3880.456,2511.397,3.47566,3.7709,-16.46692,7.14794,4.79425,17.19163,4.75053,10.56909,14.63007
TX,"Group 1 Automotive, Inc.",IQ368787,2012,294.9955,6079.765,5509.169,4525.707,5854.394,5359.881,4403.263,59.958,69.016,21.36,11.211,429.376,464.292,10.35447,6.68703,5.1949,3.06035,3.72165,4.39687,23.0806,20.04034,17.6998
CO,Liberty Interactive Corporation,IQ30796,2012,1943,9616,10982,10158,7842,9062,8433,312,274,264,0,5970,7842,5.91068,17.45388,4.00804,3.28873,2.56067,3.82246,28.2171,28.87994,20.97763
TN,"AutoZone, Inc.",IQ25307,2012,2098.187,8072.973,7362.618,6816.824,6381.961,5851.12,5460.329,320.545,314.307,270.946,0,2882.3,2726.9,-85.19571,-126.00895,-646.10718,2.51451,2.49694,2.53221,25.25073,24.42794,25.54851
GA,Newell Brands Inc.,IQ291703,2012,961.9,5511.7,5759.2,5577.6,4719.2,4864.3,4727.6,221.2,163.9,152.1,84.9,1627.2,1581.1,9.96248,15.87982,16.9396,2.97698,2.89984,3.14805,27.48312,27.74183,20.43253
CT,The Priceline Group Inc.,IQ33254,2012,1998.982,4355.61,3084.905,2338.212,2902.864,2247.945,1825.484,46.833,22.593,15.106,0,476.268,35.985,47.31754,33.27297,45.92715,0,0,0,NM,NM,NM
NC,"Sonic Automotive, Inc.",IQ370122,2012,374.1135,7871.274,6880.844,6131.709,7614.591,6684.399,5951.55,65.016,82.894,42.577,5.286,546.401,584.65,15.72698,23.01886,19.91259,3.39492,4.04144,4.37236,18.13736,13.86626,11.42091
VA,"Advance Auto Parts, Inc.",IQ24333,2012,1180.283,6170.462,5925.203,5412.623,5328.803,5172.155,4779.596,265.938,198.731,192.748,18.554,300.851,209.571,41.82531,29.80981,22.93696,1.72177,1.78922,1.79022,41.76694,39.96667,42.52123
TX,"CST Brands, Inc.",IQ231688165,2012,454.5,12863,10371,8780,12430,9972,8444,130,105,64,150,0,0,17.52662,16.1777,NM,0.30874,0.32814,0.33278,255.86579,236.16324,235.22087
TX,GameStop Corp.,IQ1342560,2012,1172.5,9550.5,9473.7,9078,8710.8,8632.8,8275.1,165.1,197.6,163.759,0,447.3,545.712,11.45196,14.52239,15.02242,2.41354,2.4451,2.56817,32.99248,32.61124,30.96001
MI,BorgWarner Inc.,IQ25708,2012,1201.4,7114.7,5652.8,3961.8,6034.2,4873.2,3599.9,378.7,265.4,160.8,13.9,1051.9,773.2,23.67804,16.98508,1.28838,1.2843,1.41533,2.7269,56.09582,50.13298,21.47522
NV,MGM Resorts International,IQ286798,2012,1842.6835,7498.105,5696.531,5911.209,2623.813,4687.884,4715.883,301.211,207.491,-116.392,0,12047.698,12976.037,71.21409,-41.85185,-32.93094,7.9258,10.91102,10.38461,3.84001,1.68058,5.09801
GA,"Mohawk Industries, Inc.",IQ31670,2012,781.6995,5642.258,5319.072,5344.024,5028.982,4694.974,4812.965,269.376,151.94,104.456,4.764,1302.994,1801.572,5.14828,5.67079,-0.17133,2.24133,2.38439,2.87217,35.39092,31.35962,29.43721
IL,LKQ Corporation,IQ4303924,2012,615.953,3269.862,2469.881,2047.942,2853.874,2133.34,1779.827,85.937,61.403,55.87,0,548.066,598.182,13.75063,12.88698,11.55822,2.58428,1.96894,2.2718,26.3649,33.48233,28.32555
FL,Royal Caribbean Cruises Ltd.,IQ325643,2012,1822.2905,7537.263,6752.504,5889.826,5903.209,5306.155,4826.101,1159.626,2161.189,2436.449,21.707,7951.187,7663.555,7.43008,7.09052,2.27119,4.95346,5.89231,7.28032,15.56746,12.75421,9.46865
IL,Tenneco Inc.,IQ35259,2012,696,7205,5937,4649,6598,5434,4316,209,147,116,20,1160,1145,402.5641,169.56522,60.83333,2.58417,2.90186,4.47618,24.39138,18.26961,9.88437
NV,Caesars Entertainment Corporation,IQ298176,2012,1907.6,8834.5,8818.6,8907.4,7078.8,7032.2,6904.5,260.4,159.3,432.1,0,19123.2,19244,-51.32684,-222.36842,-74.29751,12.0627,12.18436,12.2408,-0.82376,0.46018,0.76305
MO,"O'Reilly Automotive, Inc.",IQ324289,2012,1409.774,5788.816,5397.525,4847.062,4756.17,4495.619,4152.434,323.619,360.319,408.064,0,357.273,692.953,16.77001,14.22676,12.37894,1.38497,1.31648,2.06902,51.57945,56.58249,34.50264
CA,"Live Nation Entertainment, Inc.",IQ384687,2012,585.9935,5383.998,5063.748,4181.021,5022.643,4783.037,4069.157,107.5,75.578,64.267,0,1677.714,745.64,-5.32399,-20.13031,-20.25016,3.94261,5.07582,7.05053,15.99995,9.81981,4.98646
NY,PVH Corp.,IQ296568,2012,1156.502,5890.624,4636.848,2398.731,5252.575,3941.471,2073.337,169.841,100.995,23.856,10.874,399.584,399.567,11.5335,3.14419,14.94084,2.95933,3.84295,1.28793,24.4054,19.10987,55.8328
CA,"Netflix, Inc.",IQ32012,2012,190.7585,3204.577,2162.625,1670.269,2784.762,1846.979,1444.846,49.682,33.837,45.932,0,200,200,48.47423,65.74727,42.41641,0,0.09958,0.18144,NM,649.83286,386.81692
NY,"The Interpublic Group of Companies, Inc.",IQ108616,2012,1200.5,7014.6,6531.9,6027.6,6176.5,5834.8,5516.4,140.3,96.3,67.1,134.1,1583.3,1638,22.53527,11.08637,4.73005,1.51385,1.43139,2.65389,48.04501,47.42826,26.56361
NY,"Foot Locker, Inc.",IQ315394,2012,1256.5,5623,5049,4854,5071,4671,4621,152,97,89,101,138,142,13.44619,8.50743,2.42769,1.54821,1.78451,2.61217,46.17485,44.30529,25.59494
MI,Federal-Mogul Holdings Corporation,IQ271077,2012,477.5,6910,6219,5330,6275,5612,4950,348,251,176,0,2785,2776,-7.44417,13.06818,-4.39003,5.40046,5.43183,7.79135,12.25955,11.48052,7.02063
AZ,"PetSmart, Inc.",IQ32919,2012,1240.475,6113.304,5693.797,5336.392,5373.211,5029.143,4730.775,120.72,124.274,112.72,60.011,0,0,24.97282,20.47208,17.12022,1.94597,2.13828,2.39954,35.56971,31.65775,27.52106
GA,"PulteGroup, Inc.",IQ294550,2012,619.435,4136.69,4569.29,4084.389,4128.828,5025.542,5276.686,21.238,15.179,39.252,0,3377.768,4281.532,-10.32888,-41.15609,-39.22189,8.49515,7.85842,35.1043,7.47982,7.33624,21.73984
NY,Ralph Lauren Corporation,IQ362220,2012,1735.05,6859.5,5660.3,4978.9,5592.7,4593.2,4074.2,272.2,255,201.3,74.3,282.1,406.4,19.57684,17.67866,16.3884,0.54674,0.72367,0.69192,129.96346,106.19563,106.44322
FL,"Darden Restaurants, Inc.",IQ336160,2012,1258.05,7998.7,7500.2,7113.1,6910,6437.5,6176.2,635.8,544.7,427.7,223.9,1408.7,1632.3,25.22365,24.99608,23.25714,2.20194,1.80757,1.92328,35.43606,42.81348,38.22213
CT,"Harman International Industries, Incorporated",IQ29279,2012,489.9325,3772.345,3364.428,2891.022,3443.947,3112.811,2832.136,108.357,60.033,79.85,3.525,365.031,577.501,10.62446,3.33644,-36.52646,0.0369,0.56816,4.01929,2173.71024,146.34003,18.45315
WA,"Expedia, Inc.",IQ25915843,2012,853.988,3449.009,3033.645,2955.426,2814.466,2404.813,2141.723,207.837,136.376,92.017,76.55,1249.221,895.086,12.85364,10.98846,11.79673,0.56425,0.77686,0.61347,142.71262,86.54376,116.95124
NY,Cablevision Systems Corporation,IQ25933,2012,1995.853,6700.848,7231.249,7773.276,4457.195,4709.934,5261.191,814.807,840.488,810.304,162.032,11200.004,10991.049,-4.02387,-6.38448,-5.43067,4.69662,4.8924,4.46023,14.11521,14.00258,15.58971
AR,"Dillard's, Inc.",IQ266847,2012,815.32,6388.565,6234.535,6210.228,5720.567,5652.901,5805.346,115.651,98.184,73.589,10.002,747.587,757.689,22.41789,8.18161,3.0089,1.36604,1.50307,2.16211,49.3892,50.40033,32.1231
GA,"Asbury Automotive Group, Inc.",IQ25109,2012,242.05,4276.7,3936,3650.6,4120.1,3796.2,3550.3,22,29.6,7.9,0,539.6,536.9,15.64282,14.05691,10.37958,3.46388,4.34004,5.69462,17.75031,14.32786,10.58797
MD,"Discovery Communications, Inc.",IQ22666093,2012,2196,4235,3773,3458,2287,2258,1980,209,176,86,7,3598,3476,17.77534,10.1213,9.30905,1.94457,2.15508,2.26997,35.54227,33.24111,21.42546
TX,"iHeartMedia, Inc.",IQ92768,2012,2793.9405,6161.352,5865.685,5551.909,4335.708,4235.901,4303.82,362.281,241.464,223.792,0,19952.673,20540.361,4.11667,6.82005,82.65749,9.00458,9.84501,11.11,4.00511,2.86303,2.29774
NC,Hanesbrands Inc.,IQ4212820,2012,623.9055,4637.143,4326.713,0,4068.137,3835.913,0,88.056,104.05,0,0,1990.735,1727.547,42.88502,47.09041,0,3.89303,4.34853,0,16.2239,15.43791,0
OH,Dana Incorporated,IQ174336,2012,775,7592,6109,5228,6905,5599,4972,196,120,99,40,780,969,17.84528,-2.16749,-41.13727,2.31658,2.70965,5.69123,28.59343,26.94172,11.0808
CA,"Mattel, Inc.",IQ31197,2012,1523.7325,6266.037,5856.195,5430.846,5063.638,4775.485,4498.34769,190.914,136.654,120.487,316.503,950,700,29.33692,26.54727,22.74914,1.3632,1.25609,1.31301,58.16655,61.88798,56.16298
VA,"NVR, Inc.",IQ182505,2012,377.4715,2659.149,3041.892,2743.848,2453.468,2721.684,2443.11,11.444,6.943,3.044,0,7.592,0,8.30901,11.77967,12.27575,0,0,0,NM,NM,NM
NJ,"Burlington Stores, Inc.",IQ242224249,2012,534.8,3887.531,3701.089,2479.297,3578.765,3408.959,2252.123,153.373,132.131,60.035,297.917,0,0,-16.38304,18.12685,12.88346,4.98613,4.94918,5.8544,12.58755,12.34675,10.55297
WI,"Harley-Davidson, Inc.",IQ277444,2012,1187.428,4662.264,4176.627,4287.13,4301.338,4043.534,4339.479,179.988,167.73,111.311,111.011,303,600,23.6898,12.03569,3.34497,1.23131,0.9857,1.90657,57.06076,76.28679,35.7742
OH,"Big Lots, Inc.",IQ26949,2012,677.7705,5159.249,4952.244,4726.772,4723.218,4516.275,4335.422,131.293,107.563,78.708,0,0,0,23.29435,22.84636,22.67352,1.26448,0.81742,0.70261,58.73142,93.56559,107.67117
PA,"Toll Brothers, Inc.",IQ308806,2012,236.5005,1475.881,1494.771,1755.31,1498.983,1626.255,2248.545,-97.801,-87.394,-107.365,0,1638.601,2108.374,1.54683,-0.13304,-26.28567,5.61336,7.2327,9.98905,9.27461,18.23616,30.46098
NJ,Wyndham Worldwide Corporation,IQ31063165,2012,905.725,3839,3426,3315,3278,2987,2904,234,162,125,99,3537,3183,15.18742,13.52364,11.6501,2.93919,3.14817,2.98554,25.03815,22.42574,26.30047
NC,"American Tire Distributors, Inc.",IQ22353812,2012,218.1975,3050.24,0,0,2898.005,0,0,31.044,0,0,0,0,490.356,0.0179,0,0,5.23481,0,0,10.37815,0,0
TX,"The Michaels Companies, Inc.",IQ253239221,2012,1078,4210,4031,3888,3571,3440,3372,109,81,43,0,0,0,-6.09117,-3.79724,-3.64086,6.27027,6.84017,7.51872,7.72696,6.36315,5.78632
WI,"Spectrum Brands, Inc.",IQ182851961,2012,470.862,3186.916,2567.011,2230.536,2821.054,2234.569,1928.908,36.16,40.316,10.784,0,0,0,-7.33245,-21.90882,-562.04433,4.0833,5.16612,5.11564,9.83266,2.28709,6.14785
TX,"Neiman Marcus Group, Inc.",IQ291286,2012,652.723,4048.294,3751.844,3693.312,3523.596,3304.951,3419.501,93.646,58.407,100.532,0,2879.672,3011.971,3.29463,-0.19933,-51.48015,5.69729,7.02519,10.8406,9.09905,5.01084,3.25391
NY,Sirius XM Radio Inc.,IQ248607529,2012,1239.875,3014.524,2816.992,2472.638,2070.527,2014.087,1902.055,103.907,247.988,187.31,0,0,0,93.65696,28.40911,-677.02219,2.69704,3.39345,4.53404,27.00454,17.20532,9.79034
FL,NCL Corporation Ltd.,IQ234093043,2012,582.434,2219.324,2012.128,1855.204,1719.227,1611.328,1531.13,168.097,968.866,149.738,0,0,0,7.07723,1.33443,4.13189,5.97523,7.74259,7.5488,9.829,7.13746,8.11213
MD,"Under Armour, Inc.",IQ8740684,2012,0,0,0,0,0,0,0,0,0,0,0,9.077,10.948,0,0,0,0,0,0,0,0,0
CA,Levi Strauss & Co.,IQ30773,2012,639.6845,4761.566,4410.649,4105.766,4307.38,3924.392,3637.851,128.571,153.751,82.899,20.023,1816.728,1834.151,-74.72551,-57.76969,-44.66216,4.50924,3.97036,4.43715,12.53831,15.03593,12.89843
NY,"Coach, Inc.",IQ526573,2012,1918.5095,4158.507,3607.636,3230.468,2728.477,2330.721,2135.541,147.744,81.116,240.329,178.115,24.159,25.072,56.50026,45.9146,39.12664,0.27234,0.23432,0.24495,272.59026,289.45065,283.89571
RI,"Hasbro, Inc.",IQ277746,2012,802.074,4285.589,4002.161,4067.947,3495.342,3245.903,3298.386,99.402,112.597,104.129,154.028,1397.681,1134.723,25.41215,24.78057,25.11624,1.96638,1.72162,1.38398,38.47463,45.4788,53.30525
IL,Brunswick Corporation,IQ171649,2012,424.05,3670,3403.3,2776.1,3356.4,3233.4,3126.3,85.3,56.3,33.1,4.5,828.4,839.4,178.87463,-78.80299,-124.69687,3.14347,5.21905,-6.18183,14.06288,2.58907,-38.712
FL,"Bloomin' Brands, Inc.",IQ128530849,2012,561.9535,3841.264,3628.287,3601.656,3493.234,3297.905,3310.131,120.906,60.476,57.528,13.51,2076.24,0,-1280.9658,-94.73628,NM,5.06983,5.38542,0,14.41804,13.30252,NM
CA,"CalAtlantic Group, Inc.",IQ188653,2012,198.7325,893.9,924.874,1179.542,881.317,868.992,1224.365,0,0,0,0,1320.254,1141.677,-2.63599,-2.20967,-3.12003,12.1912,9.97379,9.51953,-2.04865,1.88793,9.44831
NC,Belk Inc.,IQ160197,2012,560.4565,3699.592,3513.275,3346.252,3273.619,3120.959,3000.508,143.244,82.209,41.826,25.592,692.84,675.962,15.31017,11.34185,6.31475,1.25278,1.41045,1.72648,58.47918,50.22521,38.6552
NV,"Wynn Resorts, Limited",IQ3449701,2012,1467.963,5269.792,4184.698,3045.611,3863.513,3119.173,2369.826,184.146,276.628,530.229,1033.447,3280.454,3586.997,26.64491,5.77977,0.86911,1.45293,2.12356,4.38453,59.17056,37.2391,15.79033
NY,Tiffany & Co.,IQ35576,2012,1105.85,3642.937,3085.29,2709.704,2788.577,2325.004,2130.235,239.443,127.002,75.403,142.84,519.592,425.412,19.40579,18.14474,15.30564,1.6347,1.61254,1.95106,38.95418,37.68434,33.28992
MI,"American Axle & Manufacturing Holdings, Inc.",IQ24704,2012,342.9,2585,2283,1521.6,2214.1,1933.3,1412.4,154.8,104.3,134.4,0,1003.2,1064,-32.17303,-22.45792,50.85904,3.78634,3.42522,15.31922,18.68972,18.70334,-4.22043
TX,"Sally Beauty Holdings, Inc.",IQ30177530,2012,735.7115,3269.131,2916.09,2636.6,2760.94,2524.037,2292.698,59.955,48.702,37.32,0,1575.121,1668.378,-62.83682,-26.71588,-15.03583,2.84186,3.63555,4.38307,20.94463,15.99489,12.43897
MO,"Leggett & Platt, Incorporated",IQ30760,2012,535,3636,3359.1,3055.1,3246.4,2968.4,2696.8,74.3,67.3,82.1,155.9,762.2,789.3,10.82589,11.44553,7.3037,1.86967,1.63578,1.79302,42.51677,49.86518,45.70826
NY,"Nine West Holdings, Inc.",IQ315884,2012,391.45,3785.3,3642.7,3327.4,3519.5,3308,3047,98,41,30,17.3,510.5,499.5,4.55178,4.82338,-7.61419,3.32019,2.12275,1.96265,21.25614,34.37808,39.44394
MI,Cooper-Standard Holdings Inc.,IQ4235187,2012,274.7185,2853.509,2414.147,1945.259,2604.212,2149.37,1779.704,108.339,77.376,46.113,7.116,456.758,11.059,16.41666,523.96893,244.44483,2.3669,2.69084,8.32928,31.03233,23.51308,7.56917
OH,Abercrombie & Fitch Co.,IQ353867,2012,1035.14,4158.058,3468.777,2928.626,3635.696,3007.692,2571.962,318.598,160.935,175.472,60.956,71.213,100,7.62744,8.08255,4.29852,3.30334,3.15559,3.50799,19.8188,20.26057,20.39971
TN,"Scripps Networks Interactive, Inc.",IQ6469353,2012,1019.5845,2072.048,2067.162,1541.248,1095.37,1193.326,939.6,53.913,76.579,89.806,132.288,884.395,884.239,24.52467,23.19468,20.41556,1.14428,0.94176,1.55385,65.50348,69.10681,43.52459
